,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
0,16259397,SANDUSDT,30,30,1635757200,1635757200,4370,1.713,1.7298,1.7108,1.7273,7511.1561
1,16259556,SANDUSDT,30,30,1635759000,1635759000,78985,1.7273,1.8033,1.6903,1.7959,136583.0056
2,16262076,SANDUSDT,30,30,1635760800,1635760800,298311,1.7959,1.9208,1.785,1.8692,559666.2115
3,16264653,SANDUSDT,30,30,1635762600,1635762600,837887,1.8692,2.0114,1.8177,1.9854,1602021.0321
4,16267153,SANDUSDT,30,30,1635764400,1635764400,2052033,1.9854,2.1141,1.9727,2.0268,4221657.1628
5,16269764,SANDUSDT,30,30,1635766200,1635766200,3377378,2.0268,2.2,1.9617,2.1017,7077975.6353
6,16272242,SANDUSDT,30,30,1635768000,1635768000,3706584,2.1017,2.3666,2.0735,2.2494,8325351.1441
7,16275009,SANDUSDT,30,30,1635769800,1635769800,2579921,2.2494,2.2761,2.123,2.19,5683493.8349
8,16277531,SANDUSDT,30,30,1635771600,1635771600,2235263,2.19,2.2695,2.1,2.1591,4875920.2608
9,16280075,SANDUSDT,30,30,1635773400,1635773400,2109169,2.1591,2.1792,2.0569,2.0907,4444945.7485
10,16282703,SANDUSDT,30,30,1635775200,1635775200,1765153,2.0907,2.1351,2.046,2.1326,3690924.5872
11,16285232,SANDUSDT,30,30,1635777000,1635777000,3249399,2.1326,2.2684,2.1326,2.1613,7131931.1318
12,16287675,SANDUSDT,30,30,1635778800,1635778800,2214604,2.1613,2.1613,2.0234,2.0371,4608434.0052
13,16290261,SANDUSDT,30,30,1635780600,1635780600,1774368,2.0371,2.086,1.9749,2.0196,3587727.762
14,16292849,SANDUSDT,30,30,1635782400,1635782400,1227281,2.0196,2.045,1.9652,2.0174,2459726.4584
15,16295409,SANDUSDT,30,30,1635784200,1635784200,1082373,2.0174,2.0932,1.9965,2.0215,2219021.0474
16,16297912,SANDUSDT,30,30,1635786000,1635786000,1210979,2.0215,2.08,1.9758,2.0228,2445053.476
17,16300468,SANDUSDT,30,30,1635787800,1635787800,1509525,2.0228,2.137,1.9996,2.0349,3107085.7735
18,16303102,SANDUSDT,30,30,1635789600,1635789600,1248395,2.0349,2.1228,2.0,2.0802,2565897.2596
19,16305665,SANDUSDT,30,30,1635791400,1635791400,1465779,2.0802,2.155,2.05,2.1008,3074432.6844
20,16308236,SANDUSDT,30,30,1635793200,1635793200,998073,2.1008,2.1052,2.04,2.0549,2058411.1456
21,16310769,SANDUSDT,30,30,1635795000,1635795000,894410,2.0549,2.0866,2.0162,2.081,1835666.128
22,16313224,SANDUSDT,30,30,1635796800,1635796800,1079227,2.081,2.1111,2.0455,2.0867,2241659.415
23,16315959,SANDUSDT,30,30,1635798600,1635798600,867000,2.0867,2.0882,2.0115,2.0144,1774207.9383
24,16318387,SANDUSDT,30,30,1635800400,1635800400,958874,2.0144,2.0391,1.9699,2.0324,1920797.1195
25,16320965,SANDUSDT,30,30,1635802200,1635802200,1631414,2.0324,2.1608,2.0098,2.1186,3413749.2093
26,16323592,SANDUSDT,30,30,1635804000,1635804000,1732132,2.1186,2.2275,2.1082,2.1521,3773424.4208
27,16326067,SANDUSDT,30,30,1635805800,1635805800,1497463,2.1521,2.1882,2.0874,2.0914,3190368.0614
28,16328577,SANDUSDT,30,30,1635807600,1635807600,950024,2.0914,2.1204,2.0754,2.0922,1992752.012
29,16331187,SANDUSDT,30,30,1635809400,1635809400,1054176,2.0922,2.1365,2.07,2.1314,2219803.0622
30,16333803,SANDUSDT,30,30,1635811200,1635811200,5512166,2.1314,2.5255,2.08,2.4648,12935877.5842
31,16336595,SANDUSDT,30,30,1635813000,1635813000,7342248,2.4648,2.8707,2.4323,2.701,19558956.4298
32,16339093,SANDUSDT,30,30,1635814800,1635814800,4629163,2.701,2.947,2.6599,2.865,12970061.1365
33,16341567,SANDUSDT,30,30,1635816600,1635816600,7627982,2.865,3.2881,2.8544,2.946,23457593.0186
34,16344183,SANDUSDT,30,30,1635818400,1635818400,5992073,2.946,2.98,2.6953,2.77,16815842.3406
35,16346737,SANDUSDT,30,30,1635820200,1635820200,3840945,2.77,2.8,2.6696,2.7796,10512428.577
36,16349183,SANDUSDT,30,30,1635822000,1635822000,3324019,2.7796,2.7928,2.6455,2.7511,9034102.3793
37,16351821,SANDUSDT,30,30,1635823800,1635823800,2891671,2.7511,2.7999,2.68,2.7216,7898649.9096
